# Program:featureCounts v1.5.3; Command:"featureCounts" "-s" "1" "-t" "exon" "-g" "gene_name" "-M" "-a" "TetGenomeRef.gtf" "-o" "transcriptome_counts.txt" "/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam" 
Geneid	Chr	Start	End	Strand	Length	/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam
TTHERM_00497680	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	292286;292434;293324;293608;293936;294262;294441;294646;296262;296875;297990;298198;298379;298723	292344;293227;293555;293883;294215;294390;294587;296209;296743;297936;298151;298313;298667;298878	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5748	101
TTHERM_000497689	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	299271;299689;300034;300196;300354;300504	299591;299977;300140;300297;300454;300618	+;+;+;+;+;+	1035	2
TTHERM_00497690	scf_8253815	300806	301735	-	930	0
TTHERM_00497700	scf_8253815;scf_8253815	302699;304312	303837;304519	-;-	1347	0
TTHERM_00497710	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	305756;305997;306828;307028;307459;307593;307989;308168;308588;308811	305815;306773;306971;307399;307536;307692;308104;308375;308745;308903	-;-;-;-;-;-;-;-;-;-	2106	0
TTHERM_00497720	scf_8253815;scf_8253815;scf_8253815;scf_8253815	309418;309931;315404;316705	309860;315264;316648;318847	-;-;-;-	9165	0
TTHERM_000497756	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	321510;321824;321974;326135;327356;328663;330399;331982;332454;333578;333767;335789;337820;338477	321751;321925;324757;327298;328600;328772;330702;332398;332524;333712;335287;337760;338224;338843	-;-;-;-;-;-;-;-;-;-;-;-;-;-	10839	0
TTHERM_000497757	scf_8253815;scf_8253815	338912;339108	339061;339443	-;-	486	0
TTHERM_000497758	scf_8253815;scf_8253815	340199;340313	340223;341055	-;-	768	0
TTHERM_000497759	scf_8253815;scf_8253815;scf_8253815	342671;342770;342910	342698;342848;343030	+;+;+	228	2
TTHERM_00497760	scf_8253815;scf_8253815	343407;344308	344121;344732	-;-	1140	0
TTHERM_00497780	scf_8253815;scf_8253815;scf_8253815	346820;347278;348826	347109;348775;349548	+;+;+	2511	7
TTHERM_000497789	scf_8253815;scf_8253815	349775;351203	351090;351620	-;-	1734	0
TTHERM_00497790	scf_8253815;scf_8253815;scf_8253815	351971;355865;356466	355797;356321;356852	-;-;-	4671	0
TTHERM_000497799	scf_8253815;scf_8253815	357264;357551	357463;359039	-;-	1689	0
TTHERM_00497800	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	359946;360212;360870;361120;361270;361626	360018;360669;361058;361210;361572;361741	+;+;+;+;+;+	1230	17
TTHERM_00497807	scf_8253815	362397	362819	+	423	9
TTHERM_00497809	scf_8253815;scf_8253815;scf_8253815;scf_8253815	363315;363433;363541;364638	363359;363490;364574;364688	+;+;+;+	1188	0
TTHERM_00497810	scf_8253815;scf_8253815;scf_8253815;scf_8253815	364947;365380;365969;366221	365319;365922;366160;367194	-;-;-;-	2082	0
TTHERM_00497820	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	368664;368867;369132;369486;369902;370095;370379;370723;371172;371496;371750;372792;372933;373219	368726;368900;369238;369677;370035;370297;370657;371107;371238;371651;372711;372883;373159;373428	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3111	42
TTHERM_00497830	scf_8253815;scf_8253815;scf_8253815;scf_8253815	374024;374496;375335;376250	374346;375282;376192;376837	+;+;+;+	2556	19
TTHERM_00497840	scf_8253815	377554	378009	+	456	10
TTHERM_00497850	scf_8253815;scf_8253815	379376;382892	382711;383041	-;-	3486	0
TTHERM_00497860	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	383948;384800;385193;385700;386399	384624;384944;385633;386348;386925	+;+;+;+;+	2439	82
TTHERM_00497870	scf_8253815;scf_8253815	387738;388042	387993;388511	+;+	726	2
TTHERM_00497880	scf_8253815;scf_8253815	389185;390476	389793;391042	-;-	1176	0
TTHERM_00497890	scf_8253815;scf_8253815	391977;392054	391998;394608	-;-	2577	0
TTHERM_00497900	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	395737;396072;396433;397051;397930;398447;399340;399678;399939	395862;396324;396759;397874;398386;399022;399626;399791;400244	+;+;+;+;+;+;+;+;+	3270	351
TTHERM_00497910	scf_8253815	401070	403562	-	2493	0
TTHERM_00497920	scf_8253815	404999	407749	-	2751	0
TTHERM_00497930	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	407913;408297;408436;408589;408733;411425	408241;408381;408529;408683;411354;411475	-;-;-;-;-;-	3276	0
TTHERM_00497940	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	412567;413123;413683;414031;414434	412759;413496;413851;414374;415105	+;+;+;+;+	1752	41
TTHERM_00497960	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	416867;417244;417751;418134;418434;419411	416881;417358;418075;418308;419351;419551	+;+;+;+;+;+	1689	27
TTHERM_00497970	scf_8253815;scf_8253815;scf_8253815	421358;423501;423796	423273;423727;423944	+;+;+	2292	11
TTHERM_00497980	scf_8253815;scf_8253815	424509;426691	426460;426982	+;+	2244	4
TTHERM_00497990	scf_8253815	428121	428702	+	582	331
TTHERM_00498010	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	429897;431017;431349;431675;432189;432823;432911;434083;434380	430603;431296;431602;432133;432757;432854;433900;434293;434855	+;+;+;+;+;+;+;+;+	3978	58
TTHERM_000498019	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	435197;435470;435637;435792;436328;436547;436689;436837;436993;437138	435408;435562;435729;435881;436417;436636;436778;436926;437082;437219	+;+;+;+;+;+;+;+;+;+	1020	57
TTHERM_00498020	scf_8253815	438245	439018	-	774	0
TTHERM_000498029	scf_8253815	439269	439577	-	309	0
TTHERM_00498030	scf_8253815	441818	442420	-	603	0
TTHERM_00498050	scf_8253815;scf_8253815	446744;447959	447700;449851	+;+	2850	14
TTHERM_00498060	scf_8253815;scf_8253815;scf_8253815	450402;450585;450847	450518;450745;450931	+;+;+	363	5
TTHERM_00498070	scf_8253815	451477	452637	+	1161	1
TTHERM_000498079	scf_8253815;scf_8253815	453911;454888	454720;454914	+;+	837	0
TTHERM_00498080	scf_8253815	455065	456189	-	1125	0
TTHERM_00498090	scf_8253815	459096	460211	-	1116	0
TTHERM_00498100	scf_8253815	462305	463474	+	1170	270
TTHERM_00498110	scf_8253815	465863	467185	+	1323	8
TTHERM_00498120	scf_8253815;scf_8253815	467973;468969	468844;468990	+;+	894	5
TTHERM_000498129	scf_8253815	471043	471348	+	306	1
TTHERM_00498130	scf_8253815	472561	473679	+	1119	16
TTHERM_00498140	scf_8253815	474516	475700	+	1185	61
TTHERM_00498150	scf_8253815;scf_8253815	476119;477426	476920;478135	-;-	1512	0
TTHERM_00498160	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	479842;480020;480474;480609;480777;480985	479963;480401;480551;480725;480926;481380	-;-;-;-;-;-	1245	0
TTHERM_00498170	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	482256;482482;482914;483621;484260	482431;482860;483071;484161;484418	-;-;-;-;-	1413	0
TTHERM_000498179	scf_8253815;scf_8253815;scf_8253815;scf_8253815	484880;485039;485229;485338	484969;485101;485272;485395	+;+;+;+	255	0
TTHERM_00498180	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	485509;485700;485942;486080;486232;486420	485643;485881;486030;486182;486328;486893	-;-;-;-;-;-	1080	0
TTHERM_00498190	scf_8253815	487792	488103	-	312	0
TTHERM_000498209	scf_8253815	489262	490284	+	1023	0
TTHERM_00498210	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	491999;492108;492303;492699;492817	492046;492236;492600;492766;492885	-;-;-;-;-	612	0
TTHERM_000498219	scf_8253815;scf_8253815;scf_8253815	493805;494263;494491	494165;494432;495150	+;+;+	1191	19
TTHERM_00498220	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	495742;496366;496724;497189;497400;498089;498396;498884;499222;499597;499888;500235;500516;501018;501223;501478;501822;502089;502284	496247;496670;497130;497344;498032;498341;498823;499171;499549;499829;500178;500464;500962;501162;501414;501768;502028;502221;502333	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5523	133
TTHERM_00498230	scf_8253815	504966	505556	-	591	0
TTHERM_00498240	scf_8253815	506705	507295	-	591	0
TTHERM_00498250	scf_8253815;scf_8253815	509537;511652	511140;512150	+;+	2103	6
TTHERM_00498260	scf_8253815;scf_8253815	513010;514024	513699;514335	-;-	1002	0
TTHERM_000498260	scf_8253815	514993	515475	+	483	0
TTHERM_002653452	scf_8253818	3481	3854	+	374	0
TTHERM_000676909	scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823	1656;2012;2356;2734;3073;3539;3853;4242;4608;4914;5240	1744;2101;2445;2823;3162;3628;3942;4331;4697;4986;5329	+;+;+;+;+;+;+;+;+;+;+	972	21
TTHERM_00676910	scf_8253823;scf_8253823;scf_8253823	6218;9345;10830	9114;10766;13524	-;-;-	7014	0
TTHERM_000676913	scf_8253823;scf_8253823;scf_8253823;scf_8253823	15021;15394;16178;16810	15278;16096;16476;17058	-;-;-;-	1509	0
TTHERM_00676920	scf_8253823	23330	24745	+	1416	6
TTHERM_000676921	scf_8253823	27604	28926	-	1323	0
TTHERM_00676930	scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823	29413;29726;30295;30531;30975;31657;31830;32206;32548;32759;33131;33476;33930;34208;34680	29664;29818;30471;30919;31543;31775;32138;32387;32707;33036;33416;33871;34152;34609;35782	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4938	0
TTHERM_000676940	scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823;scf_8253823	36924;37428;38223;38688;39035;39219;39636;39944	37215;37642;38509;38973;39157;39586;39889;40032	+;+;+;+;+;+;+;+	1914	5
TTHERM_000676951	scf_8253823	44534	44902	+	369	0
TTHERM_000676962	scf_8253823;scf_8253823	45618;45827	45777;45834	+;+	168	1
TTHERM_00677970	scf_8253823	45867	48299	-	2433	0
TTHERM_000677978	scf_8253823	49108	49857	+	750	0
TTHERM_000677979	scf_8253823;scf_8253823	55120;55534	55477;55628	+;+	453	8
TTHERM_00677980	scf_8253823;scf_8253823;scf_8253823;scf_8253823	55632;56253;57143;58631	55682;56637;58572;58636	+;+;+;+	1872	8
TTHERM_00677990	scf_8253823;scf_8253823	60864;62106	61372;64278	+;+	2682	48
