# Program:featureCounts v1.5.3; Command:"featureCounts" "-s" "1" "-t" "exon" "-g" "gene_name" "-M" "-a" "Couvillion_sRNA_Precursor_Annotations_2014updated.gtf" "-o" "couvillion_counts.txt" "/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam" 
Geneid	Chr	Start	End	Strand	Length	/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam
Twi8.4:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254428	45651	55651	-	10001	0
Twi8.5:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8254446	1324	344504	+	343181	3593
Twi8.5:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254446	1324	344504	-	343181	0
Twi8.6:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8254486	382526	385526	+	3001	872
Twi8.6:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254486	382526	385526	-	3001	0
Twi8.7:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8254415;scf_8254415	14314;14314	45314;45314	+;-	62002	154
Twi8.8:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8254431	206510	216510	+	10001	1056
Twi8.8:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254431	206510	216510	-	10001	0
Twi8.9:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8254382	86765	136765	+	50001	211
Twi8.9:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254382	86765	136765	-	50001	0
Twi8.10:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8254688	346832	353032	+	6201	938
Twi8.10:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254688	346832	353032	-	6201	0
Twi8.11:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8254495	76677	86677	+	10001	6
Twi8.11:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254495	76677	86677	-	10001	0
Twi8.12:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8254429	65953	115953	+	50001	368
Twi8.12:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254429	65953	115953	-	50001	0
Twi7.1:Plus_Strand:Low-copy_repeat	scf_8254811	1104251	1104401	+	151	73
Twi7.1:Minus_Strand:Low-copy_repeat	scf_8254811	1104251	1104401	-	151	0
Twi7.2:Plus_Strand:Low-copy_repeat	scf_8254049	83444	86667	+	3224	1748
Twi7.2:Minus_Strand:Low-copy_repeat	scf_8254049	83444	86667	-	3224	0
_Twi7.2a:Plus_Strand:Low-copy_repeat	scf_8254436	177071	177920	+	850	29
_Twi7.2a:Minus_Strand:Low-copy_repeat	scf_8254436	177071	177920	-	850	0
_Twi7.2b:Plus_Strand:Low-copy_repeat	scf_8254848	1	747	+	747	849
_Twi7.2b:Minus_Strand:Low-copy_repeat	scf_8254848	1	747	-	747	0
Rpt1:Plus_Strand:High-copy_repeat	scf_8254678	19820	29820	+	10001	894
Rpt1:Minus_Strand:High-copy_repeat	scf_8254678	19820	29820	-	10001	0
